 	b	(	*	o	+	w	=	d	l	)	n	e	s	i	h	t	f	#	F	T	E	S	R	B	
0						s3								s2								1			
1																		acc							
2								s5									s4								
3															s6										
4						s9								s8								7			
5							s10																		
6														s11											
7																s12									
8								s14									s13								
9															s15										
10		s19												s20					18	17	16				
11									s21																
12															s22										
13						s9								s8								23			
14							s24																		
15														s25											
16					s26													r4							
17			s27		r7													r7							
18			r9		r9													r9							
19		s31												s32					30	29	28				
20			r11		r11													r11							
21												s33													
22												s34													
23																s35									
24		s39												s40					38	37	36				
25									s41																
26		s19												s20					18	42					
27		s19												s20					43						
28					s45					s44															
29			s46		r7					r7															
30			r9		r9					r9															
31		s31												s32					30	29	47				
32			r11		r11					r11															
33	s49													s50										48	
34											s51														
35															s52										
36					s53											r4									
37			s54		r7											r7									
38			r9		r9											r9									
39		s31												s32					30	29	55				
40			r11		r11											r11									
41												s56													
42			s27		r6													r6							
43			r8		r8													r8							
44			r10		r10													r10							
45		s31												s32					30	57					
46		s31												s32					58						
47					s45					s59															
48								s60																	
49				s61																					
50								s62																	
51						s65								s64								63			
52												s66													
53		s39												s40					38	67					
54		s39												s40					68						
55					s45					s69															
56	s49													s50										70	
57			s46		r6					r6															
58			r8		r8					r8															
59			r10		r10					r10															
60				s71																					
61				s72																					
62								r13																	
63												s74											73		
64								s76									s75								
65															s77										
66											s78														
67			s54		r6											r6									
68			r8		r8											r8									
69			r10		r10											r10									
70								s79																	
71						s3								s2								80			
72									s81																
73																		r1							
74									s82		s83														
75						s9								s8								84			
76							s85																		
77														s86											
78						s65								s64								87			
79				s88																					
80																		r5							
81								r12																	
82													s89												
83								s90																	
84																s91									
85		s95												s96					94	93	92				
86									s97																
87												s99											98		
88						s9								s8								100			
89												s101													
90																		r3							
91															s102										
92					s103							r4													
93			s104		r7							r7													
94			r9		r9							r9													
95		s31												s32					30	29	105				
96			r11		r11							r11													
97												s106													
98																r1									
99									s107		s108														
100																r5									
101						s3								s2								109			
102												s110													
103		s95												s96					94	111					
104		s95												s96					112						
105					s45					s113															
106	s49													s50										114	
107													s115												
108								s116																	
109																		r2							
110											s117														
111			s104		r6							r6													
112			r8		r8							r8													
113			r10		r10							r10													
114								s118																	
115												s119													
116																r3									
117						s65								s64								120			
118				s121																					
119						s9								s8								122			
120												s124											123		
121						s65								s64								125			
122																r2									
123												r1													
124									s126		s127														
125												r5													
126													s128												
127								s129																	
128												s130													
129												r3													
130						s65								s64								131			
131												r2													
